,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
3141,02013,aleutians east,02,AK,ASCC,cn,,0.3815946559685759,0.7576974398211838,0.5696460478948799,39277.3972962869,77989.51821979084,58633.45775803887,187.5363043650769,372.37360499788167,279.9549546814793,0.0,0.0,0.0,0.0,0.0,0.0,2.2730853534461937,0.0533531449118284,-1.272839975909649,106.70628982365685,2.0281900197543323,,,4.594142701688472,11.17422398187394,1.0482173723326285,,,2.57097888925336,0.1059384366992551,-0.9749464401024832,211.87687339851016,2.3260835555614983,,,4.892036237495637,22.18762965001162,1.3461109081397942,,,2.447088158102782,0.0796457908055417,-1.098837171253061,159.29158161108353,2.20219282441092,,,4.768145506345059,16.68092681594278,1.2222201769892165,,,,,,"Aleutians East Borough, Alaska",3389.0,60.0,4.0,0.0,0.0,56.0,625.0,5.0,0.0,620.0,0.0,69.0,43.0,5.0,19.0,0.0,2.0,7.0,180.0,71.0,105.0,100.0,4.0,0.0,60.0,354.0,1077.0,777.0,277.0,161.0,884.0,412.0,107.0,988.0,33.0,31.0,42.0,54.0,34.0,43.0,31.0,26.0,44.0,72.0,78.0,120.0,193.0,91.0,53.0,43.0,75833.0,2414.0,2328.0,86.0,34438.0,58929.0,,66667.0,32176.0,,28750.0,52679.0,43558.0,,,29375.0,10750.0,,43750.0,50625.0,35417.0,18304.0,22083.0,33750.0,35039.0,2328.0,229.0,0.0,30.0,1103.0,0.0,78.0,77.0,40.0,9.0,5.0,31.0,15.0,0.0,28.0,133.0,119.0,23.0,59.0,24.0,325.0,831.0,168.0,1634.0,887.0,13.0,264.0,296.0,3093.0,450.0,86.72174682797285,1.9381280172352342,42.224845087046326,35.8512835644733,2.537621717320744,12.156978459722632,0.2608439067571555,2.946452265013073,-0.5836193038243052,6981.94,0.48539517669873994,-0.31390454350373237,3.530071568837378
3163,02282,yakutat,02,AK,ASCC,cn,,0.4527511686764154,0.7816154602288975,0.6171833144526564,6562.686465610477,11329.61670127058,8946.15158344053,31.334611027896337,54.09509265599935,42.71485184194784,0.0,0.0,0.0,0.0,0.0,0.0,1.4960243079561517,0.0518784950792985,-1.28501263066498,103.75699015859716,2.016017364999001,,,3.817081656198429,10.865374943063705,1.036044717577297,,,1.7331578690051488,0.0895614116821181,-1.047879069615983,179.12282336423627,2.253150926047998,,,4.054215217247426,18.757643545149968,1.2731782786262942,,,1.6305789043350316,0.0707199533807083,-1.1504580342861004,141.4399067614167,2.150571961377881,,,3.951636252577309,14.81150924410684,1.170599313956177,,,,,,"Yakutat City and Borough, Alaska",597.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,18.0,0.0,10.0,10.0,24.0,178.0,149.0,66.0,11.0,39.0,40.0,9.0,221.0,6.0,3.0,9.0,5.0,7.0,5.0,3.0,8.0,13.0,60.0,21.0,31.0,27.0,9.0,12.0,2.0,59517.0,327.0,300.0,27.0,33750.0,26875.0,,26250.0,50313.0,11250.0,36250.0,73750.0,,,,,,,,31250.0,38750.0,50000.0,22500.0,26250.0,52750.0,300.0,34.0,10.0,8.0,15.0,11.0,27.0,27.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,46.0,4.0,4.0,12.0,4.0,92.0,328.0,35.0,225.0,60.0,46.0,16.0,93.0,504.0,193.0,67.67169179229481,1.830407033981236,33.835845896147404,37.85594639865997,4.522613065326634,6.700167504187604,0.06532663316582915,1.591064607026499,-1.1849097241028699,7649.46,0.07804472472566691,-1.1076564468611427,2.775974331129369
3456,13003,atkinson,13,GA,SERC,cn,,0.4780389620905546,0.8057852532743717,0.641912107682463,49058.09011959994,82692.6018735071,65875.34599655351,234.23580872321207,394.82924076428543,314.5325247437487,0.0,0.0,0.0,0.0,0.0,0.0,2.369653288439661,0.0282313858892626,-1.5492678016516743,56.46277177852527,1.7517621940123065,,,4.690710636681938,5.912750406122687,0.7717895465906026,,,2.59640930871979,0.0475869881600922,-1.3225117813715457,95.17397632018452,1.978518214292436,,,4.917466656962068,9.966566454562743,0.9985455668707318,,,2.497665561025754,0.0379091870246774,-1.421255529065582,75.81837404935487,1.8797744665983995,,,4.818722909268031,7.939658430342716,0.8998018191766954,,,,,,"Atkinson County, Georgia",8311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.0,0.0,1085.0,914.0,0.0,0.0,3.0,1704.0,1805.0,1123.0,300.0,346.0,962.0,2331.0,328.0,2953.0,226.0,159.0,229.0,237.0,433.0,179.0,132.0,115.0,131.0,296.0,194.0,244.0,120.0,70.0,127.0,61.0,35703.0,3714.0,3475.0,239.0,29681.0,26579.0,,27236.0,27688.0,35769.0,26406.0,30944.0,20625.0,,69091.0,,60313.0,,20357.0,45625.0,40852.0,,8377.0,31150.0,35714.0,3475.0,246.0,0.0,347.0,747.0,52.0,288.0,274.0,17.0,12.0,158.0,15.0,35.0,0.0,110.0,337.0,286.0,2.0,298.0,125.0,126.0,6241.0,1474.0,64.0,0.0,0.0,916.0,2157.0,6154.0,4636.0,44.21850559499458,1.6456040611098495,42.221152689207074,21.285043917699433,2.875706894477199,28.047166405967992,0.11575021056431235,2.983175072037813,-0.9364782102725513,339.38,24.488773646060462,1.38896703697917,3.9196532823103643
3570,13239,quitman,13,GA,SERC,cn,,0.4403341362341142,0.7896563892349189,0.6149952627345165,16940.743065182865,30380.03393108817,23660.38849813552,80.88632563092561,145.05439978479723,112.97036270786144,0.0,0.0,0.0,0.0,0.0,0.0,1.907875107459086,0.0354920252878129,-1.4498692177212895,70.98405057562582,1.851160777942692,,,4.228932455701363,7.4334107350517185,0.8711881305209878,,,2.161530906342954,0.0636482666892484,-1.1962134188374216,127.29653337849696,2.10481657682656,,,4.482588254585231,13.33042296230284,1.1248439294048558,,,2.052964523123653,0.0495701459885306,-1.3047798020567225,99.14029197706137,1.9962501936072587,,,4.3740218713659305,10.381916848677278,1.0162775461855549,,,,,,"Quitman County, Georgia",2290.0,5.0,0.0,5.0,0.0,0.0,79.0,0.0,79.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,6.0,0.0,0.0,13.0,12.0,5.0,514.0,590.0,465.0,117.0,86.0,118.0,328.0,0.0,958.0,90.0,64.0,52.0,108.0,126.0,47.0,38.0,93.0,38.0,88.0,73.0,55.0,17.0,9.0,33.0,27.0,34394.0,893.0,702.0,191.0,31337.0,,,38393.0,40042.0,,22111.0,20795.0,,,40669.0,,,,,18846.0,30268.0,,,,36250.0,702.0,0.0,18.0,21.0,143.0,0.0,128.0,55.0,0.0,0.0,63.0,0.0,12.0,0.0,0.0,24.0,95.0,8.0,31.0,8.0,96.0,1057.0,1121.0,43.0,145.0,12.0,0.0,29.0,2261.0,963.0,57.94759825327511,1.7630354405245476,48.20960698689956,29.170305676855897,8.340611353711791,14.323144104803493,0.05152838427947598,2.0718820073061255,-1.2879534750337627,151.24,15.141496958476592,1.18016881364939,3.359835482339888
3580,13259,stewart,13,GA,SERC,cn,,0.500651150425941,0.8154579915250285,0.6580545709754847,32117.347054417078,52312.56794241892,42214.95749841799,153.34948309228645,249.77484097948815,201.5621620358873,0.0,0.0,0.0,0.0,0.0,0.0,2.1856823164088466,0.0247377775596525,-1.606639319942727,49.4755551193052,1.6943906757212543,,,4.506739664651124,5.181052920538325,0.7144180282995505,,,2.3975486911475974,0.0402927635069347,-1.394772945203976,80.5855270138694,1.906257050460005,,,4.718606039389875,8.438872066852543,0.926284403038301,,,2.3044090081239954,0.0325152705332936,-1.487912628227578,65.03054106658729,1.8131173674364032,,,4.625466356366273,6.8099624936954335,0.8331447200146992,,,,,,"Stewart County, Georgia",6446.0,18.0,0.0,0.0,0.0,18.0,172.0,78.0,53.0,33.0,8.0,332.0,106.0,54.0,0.0,0.0,155.0,0.0,1301.0,352.0,831.0,340.0,118.0,2.0,45.0,1394.0,1825.0,1184.0,416.0,278.0,1486.0,1187.0,0.0,1845.0,142.0,247.0,157.0,192.0,66.0,136.0,215.0,66.0,77.0,139.0,62.0,149.0,80.0,33.0,36.0,48.0,34028.0,1883.0,1710.0,173.0,23818.0,50066.0,,31875.0,19688.0,,20513.0,12134.0,,,75121.0,,,,23661.0,24409.0,14514.0,4625.0,15699.0,23571.0,42841.0,1710.0,95.0,10.0,109.0,200.0,0.0,142.0,239.0,0.0,0.0,59.0,0.0,1.0,0.0,46.0,274.0,171.0,40.0,63.0,118.0,143.0,1587.0,3699.0,51.0,198.0,0.0,984.0,1017.0,5429.0,1459.0,77.36580825318026,1.8885490670420473,49.937946013031336,29.134346881787152,2.683834936394663,18.41452063295067,0.23053056158858207,3.1720188094245563,-0.6372714917517592,458.73,14.05183877226255,1.1477331581482828,3.8092903011763157
3583,13265,taliaferro,13,GA,SERC,cn,,0.4403341362341142,0.7896563892349189,0.6149952627345165,16940.743065182865,30380.03393108817,23660.38849813552,80.88632563092561,145.05439978479723,112.97036270786144,0.0,0.0,0.0,0.0,0.0,0.0,1.907875107459086,0.0503024413127646,-1.2984109369533463,100.60488262552936,2.0026190587106347,,,4.228932455701363,10.53528797585999,1.0226464112889309,,,2.161530906342954,0.0902079600651724,-1.0447551380694784,180.4159201303449,2.256274857594503,,,4.482588254585231,18.89305592729364,1.2763022101727988,,,2.052964523123653,0.0702552006889685,-1.1533215212887793,140.51040137793711,2.147708474375202,,,4.3740218713659305,14.714171951576816,1.167735826953498,,,,,,"Taliaferro County, Georgia",1596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10.0,46.0,46.0,0.0,0.0,0.0,278.0,631.0,274.0,51.0,21.0,56.0,394.0,19.0,662.0,64.0,73.0,41.0,57.0,33.0,29.0,55.0,86.0,35.0,60.0,49.0,36.0,8.0,30.0,2.0,4.0,37717.0,689.0,660.0,29.0,26529.0,57500.0,,43281.0,27045.0,,15957.0,41019.0,,,,,,,16845.0,32500.0,23750.0,,16175.0,15893.0,31938.0,660.0,10.0,3.0,29.0,166.0,9.0,72.0,50.0,5.0,5.0,11.0,4.0,12.0,0.0,53.0,30.0,16.0,0.0,95.0,21.0,69.0,601.0,934.0,0.0,0.0,8.0,53.0,70.0,1526.0,582.0,63.53383458646616,1.8030050679826066,56.954887218045116,21.67919799498747,1.8170426065162906,24.686716791979947,0.03508771929824561,1.7481880270062005,-1.4548448600085102,194.61,8.201017419454292,0.9138677343648214,3.2030328870147105
3604,13307,webster,13,GA,SERC,cn,,0.4841012881232967,0.8023139408868614,0.6432076145050791,62377.86083638923,103380.48788457092,82879.17436048007,297.833214538413,493.6069081940887,395.7200613662509,0.0,0.0,0.0,0.0,0.0,0.0,2.47397312889764,0.1140686382759146,-0.9428337429253042,228.1372765518292,2.358196252738677,,,4.7950304771399175,23.89041012500545,1.378223605316973,,,2.693381229164525,0.1890489882014893,-0.7234256426584192,378.0979764029787,2.577604353005562,,,5.0144385774068025,39.594212135032905,1.597631705583858,,,2.597388067753553,0.151558813238702,-0.8194188040693917,303.117626477404,2.481611191594589,,,4.91844541599583,31.74231113001918,1.5016385441728854,,,,,,"Webster County, Georgia",2587.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,70.0,0.0,0.0,16.0,378.0,597.0,673.0,108.0,95.0,116.0,637.0,105.0,1115.0,121.0,149.0,52.0,148.0,66.0,40.0,75.0,36.0,49.0,25.0,81.0,135.0,57.0,6.0,63.0,12.0,31629.0,1002.0,939.0,63.0,35392.0,23125.0,,33611.0,42045.0,35403.0,42857.0,55833.0,,,26750.0,,,,,43750.0,36518.0,,11821.0,33750.0,34500.0,939.0,70.0,0.0,44.0,162.0,70.0,63.0,36.0,10.0,9.0,21.0,0.0,20.0,7.0,4.0,74.0,111.0,0.0,67.0,37.0,134.0,1430.0,879.0,32.0,0.0,0.0,281.0,322.0,2265.0,1372.0,46.965597216853496,1.6717798492177876,37.68844221105528,33.861615771163514,2.435253189022033,24.623115577889447,0.04483958252802474,2.0644579892269186,-1.348338439489625,209.12,12.37088752869166,1.0924008584800744,3.4127964287165433
3632,16033,clark,16,ID,WECC,cn,,0.42957934052032,0.782306053947161,0.6059426972337406,9617.674904534098,17514.727997858197,13566.201451196148,45.92114886267116,83.62690979497218,64.77402932882168,0.0,0.0,0.0,0.0,0.0,0.0,1.6620127447748727,0.0538980620453886,-1.2684268499918274,107.79612409077735,2.032603145672154,,,3.98307009301715,11.288350826917956,1.0526304982504495,,,1.9223460489097772,0.0981536499940988,-1.008093545856923,196.3072999881976,2.292936449807059,,,4.243403397152055,20.55719248574906,1.3129638023853547,,,1.8114009135869231,0.0760258560197437,-1.119038681179777,152.05171203948754,2.1819913144842045,,,4.132458261829201,15.922771656333508,1.2020186670625002,,,,,,"Clark County, Idaho",885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,219.0,202.0,0.0,4.0,4.0,202.0,176.0,92.0,68.0,26.0,215.0,87.0,29.0,332.0,2.0,9.0,5.0,15.0,98.0,33.0,19.0,6.0,20.0,54.0,13.0,30.0,15.0,2.0,11.0,0.0,36429.0,353.0,341.0,12.0,29861.0,32974.0,,41667.0,16442.0,,38594.0,,,,,,,,,13438.0,,,,,16438.0,341.0,147.0,6.0,32.0,40.0,11.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,6.0,0.0,18.0,5.0,23.0,749.0,8.0,41.0,0.0,0.0,87.0,347.0,538.0,489.0,44.745762711864415,1.650751915227687,42.71186440677966,21.01694915254237,1.3559322033898304,9.830508474576272,0.24293785310734464,2.3324384599156054,-0.6145048107822201,1764.19,0.501646648036776,-0.29960208532926486,2.9469432706978256
3694,17069,hardin,17,IL,SERC,cn,,0.4979523277994432,0.8124363020029878,0.6551943149012155,28874.0449218152,47109.57449243179,37991.809707123495,137.86381098170014,224.93230480312775,181.398057892414,0.0,0.0,0.0,0.0,0.0,0.0,2.139450279565443,0.0352592866960869,-1.452726477830424,70.51857339217399,1.8483035178335567,,,4.46050762780772,7.384666220413094,0.8683308704118533,,,2.352051833337849,0.0575274436836643,-1.240124924058018,115.0548873673288,2.060905071605964,,,4.673109181580126,12.048484524918615,1.0809324241842595,,,2.258632633048647,0.0463933651898756,-1.33354412434722,92.78673037975138,1.967485871316761,,,4.579689981290924,9.716575372665856,0.9875132238950572,,,,,,"Hardin County, Illinois",3890.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,7.0,400.0,1088.0,1188.0,225.0,113.0,17.0,504.0,0.0,1515.0,133.0,70.0,67.0,91.0,94.0,66.0,75.0,57.0,94.0,180.0,194.0,145.0,115.0,55.0,46.0,33.0,50847.0,1518.0,1422.0,96.0,34082.0,47500.0,49632.0,19583.0,41607.0,,13811.0,45221.0,,,137500.0,,,,43472.0,41207.0,29649.0,,9000.0,53098.0,46458.0,1422.0,96.0,101.0,64.0,111.0,16.0,126.0,97.0,12.0,0.0,18.0,12.0,24.0,0.0,11.0,100.0,472.0,3.0,38.0,35.0,86.0,3783.0,110.0,13.0,0.0,0.0,0.0,30.0,3860.0,3737.0,3.933161953727504,0.5947418294918908,38.25192802056555,39.22879177377892,2.467866323907455,12.956298200514137,0.004370179948586119,1.2304489213782739,-2.3595006799474336,177.53,21.911789556694643,1.3406778482526067,3.5899496013257077
3977,20049,elk,20,KS,MRO,cn,,0.486558043772863,0.8042023477683825,0.6453801957706229,40401.95139502491,66777.94064272186,53589.94601887339,192.9056703173332,318.84210928687014,255.8738898021017,0.0,0.0,0.0,0.0,0.0,0.0,2.285344993591708,0.0769161364901647,-1.1139825385669708,153.8322729803295,2.18704745709701,,,4.606402341833985,16.109231018749963,1.2070748096753063,,,2.503575673524702,0.1271300276263437,-0.8957518586339769,254.26005525268752,2.4052781370300043,,,4.824633021766979,26.625973143031047,1.4253054896083004,,,2.4080259713369343,0.1020230820582542,-0.9913015608217448,204.0461641165085,2.3097284348422367,,,4.729083319579211,21.367602080890503,1.3297557874205326,,,,,,"Elk County, Kansas",2502.0,4.0,1.0,1.0,0.0,2.0,11.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,219.0,751.0,594.0,173.0,159.0,13.0,407.0,4.0,1150.0,98.0,71.0,83.0,73.0,54.0,71.0,85.0,78.0,23.0,75.0,137.0,128.0,111.0,27.0,12.0,24.0,42564.0,1008.0,948.0,60.0,25490.0,25455.0,46667.0,25179.0,36429.0,44688.0,23889.0,37344.0,101458.0,,47917.0,,56607.0,,20417.0,20227.0,20769.0,,10625.0,21316.0,31250.0,948.0,52.0,40.0,41.0,74.0,21.0,58.0,27.0,19.0,2.0,41.0,1.0,35.0,0.0,39.0,126.0,190.0,11.0,49.0,68.0,54.0,2428.0,26.0,116.0,16.0,0.0,21.0,113.0,2389.0,2227.0,10.991207034372497,1.0410453884728612,38.76898481215028,37.01039168665068,2.3980815347721824,16.266986410871304,0.005195843325339729,1.1139433523068367,-2.2843439530505645,644.27,3.883465006907042,0.5892193961712161,3.398287305357401
