FIPS,Mine State,Mine County,short ton CO2,Production (short tons),Average Employees,Labor Hours,short ton CO2/employee
01049,Alabama,De Kalb,46057.36525650001,17865,2,1440,23028.682628250004
01073,Alabama,Jefferson,21397509.4116771,8299791,1467,3614067,14585.895986146626
01117,Alabama,Shelby,8028.135203400001,3114,4,8200,2007.0338008500003
01125,Alabama,Tuscaloosa,6075336.4315397,2356537,488,1277811,12449.459900696107
01127,Alabama,Walker,3800316.5683509,1474089,474,1079646,8017.54550285
02068,Alaska,Denali,1571288.3120350144,1020870,102,199949,15404.787372892299
08051,Colorado,Gunnison,5922114.115840628,2538091,319,607403,18564.621052791936
08067,Colorado,La Plata,1031271.7377934245,592669,85,160943,12132.608679922641
08081,Colorado,Moffat,8228426.629041547,3847604,393,768907,20937.47233852811
08103,Colorado,Rio Blanco,3715940.6771678333,1885034,178,364107,20876.071220044007
08107,Colorado,Routt,2714779.8850017474,1192936,143,263409,18984.47472029194
17055,Illinois,Franklin,17527578.392482247,7196444,356,766004,49234.77076539957
17065,Illinois,Hamilton,6290050.515341729,2623205,181,404994,34751.66030575541
17117,Illinois,Macoupin,539931.3289169689,235411,37,71773,14592.738619377538
17135,Illinois,Montgomery,6485270.283201184,2886225,103,191953,62963.78915729305
17145,Illinois,Perry,9564291.358131004,4166449,295,563833,32421.326637732218
17157,Illinois,Randolph,4332029.433145845,1895288,170,312418,25482.5260773285
17165,Illinois,Saline,2132140.0686464864,841867,83,201865,25688.43456200586
17167,Illinois,Sangamon,1676904.9872624192,766327,214,369413,7836.0046133757905
17185,Illinois,Wabash,1542149.9461608168,690988,48,143011,32128.12387835035
17189,Illinois,Washington,11286659.50319705,6433987,373,972105,30259.14075924142
17199,Illinois,Williamson,9272907.469268132,3841668,180,360952,51516.15260704518
18021,Indiana,Clay,578344.3336524371,253029,34,71695,17010.127460365795
18027,Indiana,Daviess,4935738.291718325,2101229,168,428709,29379.394593561457
18037,Indiana,Dubois,257434.2204717021,111410,30,45980,8581.14068239007
18051,Indiana,Gibson,10581461.611413294,4469140,424,927893,24956.277385408714
18083,Indiana,Knox,12454048.86792105,5243007,568,1213414,21926.14237310044
18125,Indiana,Pike,270613.55569037655,118395,11,27253,24601.232335488778
18147,Indiana,Spencer,23085.408272923716,10100,11,2494,2098.6734793567016
18153,Indiana,Sullivan,12137151.547009662,5322285,449,994473,27031.517922070518
18173,Indiana,Warrick,5357258.035400237,2313850,219,454261,24462.36545844857
21013,Kentucky,Bell,1365094.2597227176,559719,176,297223,7756.217384788168
21025,Kentucky,Breathitt,12004.227025266637,4922,3,4681,4001.409008422212
21059,Kentucky,Daviess,635974.4764633077,303557,28,78379,22713.374159403847
21071,Kentucky,Floyd,985951.4070882448,404262,131,202772,7526.3466189942355
21095,Kentucky,Harlan,2980783.8971298006,1192882,286,620448,10422.321318635666
21107,Kentucky,Hopkins,8867212.870580107,3564441,423,875708,20962.678181040443
21115,Kentucky,Johnson,931735.5221108771,395698,56,126874,16638.134323408518
21119,Kentucky,Knott,1577392.5022802926,646766,68,148233,23196.94856294548
21121,Kentucky,Knox,379086.7581156632,155434,49,96880,7736.464451340065
21131,Kentucky,Leslie,1812930.947869921,743342,184,427594,9852.885586249571
21133,Kentucky,Letcher,129424.68824661206,53067,14,28418,9244.620589043718
21159,Kentucky,Martin,339362.0832299373,139146,22,28106,15425.549237724423
21175,Kentucky,Morgan,22818.274694919677,9356,4,6731,5704.568673729919
21177,Kentucky,Muhlenberg,5092516.931195297,2120338,207,571775,24601.531068576314
21183,Kentucky,Ohio,604423.8843755242,251094,37,92537,16335.780658797952
21193,Kentucky,Perry,4222088.097275565,1731150,288,613477,14660.028115540157
21195,Kentucky,Pike,5088275.279386565,2075636,620,1190254,8206.895611913815
21225,Kentucky,Union,22275149.121713348,9412068,733,1628436,30389.016537125986
21235,Kentucky,Whitley,540921.8837736463,221790,49,93188,11039.222117829517
22031,Louisiana,De Soto,667705.7282530378,455541,93,191958,7179.631486591804
22069,Louisiana,Natchitoches,304936.63559872727,221041,32,64487,9529.269862460227
24001,Maryland,Allegany,1410745.6187932533,604204,80,167285,17634.320234915667
24023,Maryland,Garrett,1416694.3887234356,549952,107,217477,13240.1344740508
28019,Mississippi,Choctaw,2873408.566056652,2587165,194,392938,14811.384361116763
29013,Missouri,Bates,352788.3882773726,158739,12,24924,29399.032356447715
30003,Montana,Big Horn,28999417.896293037,14808775,485,961825,59792.6142191609
30065,Montana,Musselshell,10480160.331853082,6022919,258,551711,40620.77648005071
30083,Montana,Richland,392069.8735341421,274389,11,21682,35642.7157758311
30087,Montana,Rosebud,9745113.295173544,5315470,337,583103,28917.250134046128
35045,New Mexico,San Juan,11248391.592870854,5694588,572,1181132,19665.020267256736
38057,North Dakota,Mercer,21640576.94929398,15008403,597,1165222,36248.87261188271
38065,North Dakota,Oliver,6015374.058679933,4168628,177,332966,33985.16417333295
39013,Ohio,Belmont,514541.9532650891,217888,40,85644,12863.548831627228
39067,Ohio,Harrison,2512589.4238902633,1001383,156,310003,16106.342460835021
39111,Ohio,Monroe,4380732.027077132,1689296,172,393887,25469.372250448443
39121,Ohio,Noble,1042142.1566634878,460913,46,118751,22655.26427529321
39127,Ohio,Perry,268340.18438798806,104168,25,42079,10733.607375519523
39157,Ohio,Tuscarawas,278687.45420149766,112857,34,67497,8196.689829455814
40035,Oklahoma,Craig,889.8083611691003,645,15,27410,59.320557411273356
40111,Oklahoma,Okmulgee,206.93217701606986,150,2,548,103.46608850803493
42005,Pennsylvania,Armstrong,1561786.8599763059,606276,68,156394,22967.453823180967
42009,Pennsylvania,Bedford,378350.9401994827,193079,24,50987,15764.62250831178
42021,Pennsylvania,Cambria,2270005.517569772,908378,136,287048,16691.217040954205
42025,Pennsylvania,Carbon,70101.58050217264,27213,21,15151,3338.1705001034593
42031,Pennsylvania,Clarion,191665.23891215055,76734,16,19577,11979.07743200941
42033,Pennsylvania,Clearfield,2176455.6214658553,852038,240,422917,9068.565089441063
42037,Pennsylvania,Columbia,210206.85226023552,81601,34,68261,6182.554478242221
42043,Pennsylvania,Dauphin,26262.6543644453,10195,8,15880,3282.8317955556627
42051,Pennsylvania,Fayette,22398.605169087976,8695,6,5101,3733.1008615146625
42059,Pennsylvania,Greene,55536226.51416613,20994396,1941,3708015,28612.1723411469
42063,Pennsylvania,Indiana,5077771.247211696,2009905,230,483402,22077.266292224765
42065,Pennsylvania,Jefferson,485393.88315529376,192053,58,104644,8368.860054401617
42079,Pennsylvania,Luzerne,1716271.5468066921,666246,101,204479,16992.787592145465
42081,Pennsylvania,Lycoming,464252.6306581984,180220,28,72230,16580.451094935655
42097,Pennsylvania,Northumberland,737487.2773603058,286288,68,102024,10845.401137651555
42107,Pennsylvania,Schuylkill,3297360.6205302062,1280015,250,448944,13189.442482120825
42111,Pennsylvania,Somerset,4420813.730794927,1817707,423,828883,10451.096290295336
42125,Pennsylvania,Washington,14700033.266291443,5706462,497,769433,29577.53172292041
42129,Pennsylvania,Westmoreland,1036871.8744771356,407557,94,197880,11030.55185613974
47025,Tennessee,Claiborne,225228.38831235393,91871,25,53630,9009.135532494158
48013,Texas,Atascosa,3036534.5278420737,2647716,310,491704,9795.272670458302
48203,Texas,Harrison,2395224.5477723586,1709518,270,508734,8871.202028786514
48293,Texas,Limestone,14858569.787232,10104901,345,802667,43068.31822386087
48323,Texas,Maverick,405622.935195513,294026,136,166565,2982.5215823199487
48395,Texas,Robertson,2928053.866779133,1972073,95,177130,30821.619650306664
48401,Texas,Rusk,4075250.557666447,2954048,172,361499,23693.31719573516
49007,Utah,Carbon,17111914.592105575,6989454,665,1488234,25732.202394143722
49015,Utah,Emery,2668024.139863028,1145727,175,401027,15245.852227788733
49025,Utah,Kane,1233010.8785599328,569090,35,118696,35228.88224456951
49041,Utah,Sevier,10283737.956057973,4458836,411,852301,25021.260233717698
51027,Virginia,Buchanan,12685254.962630447,5186292,851,1755537,14906.292553032252
51051,Virginia,Dickenson,8638646.135695726,3542037,688,1511967,12556.171708860067
51167,Virginia,Russell,83814.96667011645,34366,23,49819,3644.128985657237
51185,Virginia,Tazewell,193582.1844121269,79373,25,34305,7743.287376485076
51195,Virginia,Wise,2096413.638575614,843287,253,372537,8286.219915318632
54001,West Virginia,Barbour,1947663.692788673,756071,495,1185425,3934.674126845804
54005,West Virginia,Boone,6726227.90414536,2752048,636,1270581,10575.830037964402
54019,West Virginia,Fayette,3119890.698116066,1265550,282,600331,11063.442191900944
54023,West Virginia,Grant,45575.172242841225,17692,7,13553,6510.73889183446
54025,West Virginia,Greenbrier,651681.7306093755,267204,98,244284,6649.813577646689
54039,West Virginia,Kanawha,8663698.651393224,3526788,552,1060848,15695.106252523956
54045,West Virginia,Logan,16493666.821217299,6758429,1352,2993313,12199.45770800096
54049,West Virginia,Marion,10733520.671629537,4045186,438,1011509,24505.754958058304
54051,West Virginia,Marshall,35957483.75328442,13853276,1134,2572375,31708.53946497744
54055,West Virginia,Mercer,875011.0822354758,358774,74,155146,11824.474084263185
54057,West Virginia,Mineral,1360.1453167657792,528,5,7561,272.02906335315583
54059,West Virginia,Mingo,4371251.298263557,1790501,345,676142,12670.293618155238
54067,West Virginia,Nicholas,2411593.6026356816,988807,169,381201,14269.784630980364
54069,West Virginia,Ohio,17536298.137833215,6756696,439,896290,39946.00942558819
54081,West Virginia,Raleigh,14654468.6609477,6008658,1370,2957278,10696.692453246496
54083,West Virginia,Randolph,1794619.008291757,696660,165,366959,10876.478838131861
54091,West Virginia,Taylor,10781014.107080963,4185123,431,1144218,25013.953844735413
54093,West Virginia,Tucker,4724809.946180719,1834142,205,428261,23047.853396003506
54101,West Virginia,Webster,367494.26277365396,142659,38,58301,9670.901651938262
54103,West Virginia,Wetzel,12847639.054012902,4880471,390,879177,32942.66424105872
54109,West Virginia,Wyoming,9181455.721971922,3764601,727,1592445,12629.23758180457
56005,Wyoming,Campbell,353047383.50905156,190175623,3592,6954013,98287.13349361124
56009,Wyoming,Converse,37717878.901028536,19809826,514,979689,73381.08735608665
56023,Wyoming,Lincoln,5240549.886443174,2474942,250,415744,20962.1995457727
56037,Wyoming,Sweetwater,12389082.196166579,6095453,511,1034227,24244.779248858275
